Direction,Stop Name,Stop Name Marathi,,,,,
DOWN,Kondhwa Bk,कोंढवा बु.,,,,,
DOWN,Ramdas Maral,रामदास मरळ,,,,,
DOWN,Talab Company,तालाब कंपनी,,,,,
DOWN,Kondhwa Police Station,कोंढवा पोलीस स्टेशन,,,,,
DOWN,Chaitanya Vidyalay,चैतन्य विद्यालय,,,,,
DOWN,Kondhwa Kh,कोंढवा खुर्द,,,,,
DOWN,Kondhwa Shala,कोंढवा शाळा,,,,,
DOWN,U Co Bank,यू को बँक,,,,,
DOWN,Kamela,कमेला,,,,,
DOWN,Lullanagar,लुल्लानगर,,,,,
DOWN,Netajinagar,नेताजीनगर,,,,,
DOWN,Shinde Chhatri,शिंदे छत्री,,,,,
DOWN,Vanwadi Bazar,वानवडी बजार,,,,,
DOWN,Vanwadi Corner,वानवडी कॉर्नर,,,,,
DOWN,Military Hospital Vanawadi ,मिल्ट्री हॉस्पिटल वानवडी,,,,,
DOWN,Limb Center,लिंब सेंटर,,,,,
DOWN,Mahatma Gandhi Stand,महात्मा गांधी स्टॅण्ड,,,,,
DOWN,Golibar Maidan,गोळीबार मैदान,,,,,
DOWN,Meera Society,मिरा सोसायटी,,,,,
DOWN,ST Vibhagiya Karyalay,एसटी विभागीय कार्यालय,,,,,
DOWN,Ghorpade Peth,घोरपडे पेठ,,,,,
DOWN,Swargate Depo,स्वारगेट डेपो,,,,,
DOWN,Nehru Stadium,नेहरू स्‍टेडीयम,,,,,
DOWN,Sarasbaug,सारसबाग,,,,,
DOWN,Madiwale Colony,माडीवाले कॉलनी,,,,,
DOWN,SP College,एसपी कॉलेज,,,,,
DOWN,Maharashtra Mandal,महाराष्ट्र मंडळ,,,,,
DOWN,Sahitya Parishad,साहित्य परिषद,,,,,
DOWN,Deccan Corner,डेक्कन कॉर्नर,,,,,
DOWN,Garware College,गरवारे कॉलेज,,,,,
DOWN,Sonal Hall,सोनल हॉल,,,,,
DOWN,Nal Stop,नळ स्टॉप,,,,,
DOWN,SNDT College,एसएनडीटी कॉलेज,,,,,
DOWN,Paud Phata,पौड फाटा,,,,,
DOWN,More Vidyalay,मोरे विद्यालय,,,,,
DOWN,Ideal Colony,आयडियल कॉलनी,,,,,
DOWN,Anandnagar Kothrud,आनंदनगर कोथरुड ,,,,,
DOWN,Jai Bhavaninagar,जय भवानीनगर,,,,,
DOWN,Pratiknagar,प्रतीकनगर,,,,,
DOWN,Vanaj Corner,वनाज कॉर्नर,,,,,
DOWN,Vanaj Company,वनाज कंपनी,,,,,
DOWN,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,,,,,
DOWN,Bharatinagar,भारतीनगर,,,,,
DOWN,Kothrud Depot,कोथरुड डेपो,,,,,
DOWN,Lohgaon,लोहगांव,,,,,
DOWN,Panyachi Taki Lohgaon,पाण्याची टाकी लोहगांव,,,,,
DOWN,Kendriya Vidyalay Lohgaon,केंद्रीय विद्यालय लोहगाव ,,,,,
DOWN,Officers Mess,ऑफिसर्स मेस,,,,,
DOWN,Kalwad,कलवड,,,,,
DOWN,Burma Shell,बर्माशेल,,,,,
DOWN,509,509,,,,,
DOWN,Sanjay Park,संजय पार्क,,,,,
DOWN,Gaurdroom,गार्डरूम,,,,,
DOWN,Nagpur Chawl,नागपूर चाळ,,,,,
DOWN,Yerwada Post Office,येरवडा पोस्ट ऑफिस,,,,,
DOWN,Vikrikar Karyalay,विक्रीकर कार्यालय ,,,,,
DOWN,Netaji Highschool,नेताजी हायस्कूल,,,,,
DOWN,Neeta Park,निता पार्क,,,,,
DOWN,Yerawada,येरवडा,,,,,
DOWN,Bundgarden,बंडगार्डन,,,,,
DOWN,Wadia College,वाडीया कॉलेज,,,,,
DOWN,Jehangir Hospital,जहांगीर हॉस्पिटल,,,,,
DOWN,Alankar Talkies,अलंकार टॉकिज,,,,,
DOWN,Income Tax Office,इनकम टॅक्स ऑफिस,,,,,
DOWN,GPO,जी.पी.ओ.,,,,,
DOWN,Collector Kacheri,कलेक्टर कचेरी,,,,,
DOWN,Gadital,गाडीतळ,,,,,
DOWN,RTO,आर.टी.ओ.,,,,,
DOWN,Engineering College,इंजिनिअरिंग कॉलेज,,,,,
DOWN,COEP Hostel,सीओईपी होस्टेल,,,,,
DOWN,Modern HighSchool,मॉडर्न हायस्कुल,,,,,
DOWN,Balgandharv,बालगंधर्व,,,,,
DOWN,Natraj Talkies,नटराज टॉकीज ,,,,,
DOWN,Deccan Gymkhana,डेक्कन जिमखाना,,,,,
DOWN,Shikshaknagar,शिक्षकनगर,,,,,
DOWN,Paramhansnagar,परमहंसनगर,,,,,
DOWN,Hinjawadi Maan Phase 3,हिंजवडी माण फेज ३,,,,,
DOWN,Mahindra Tech,महिंद्रा टेक,,,,,
DOWN,Tata Motors,टाटा मोटर्स,,,,,
DOWN,Power House Hinjawadi,पॉवर हाऊस हिंजवडी,,,,,
DOWN,Infosys Phase 2,इन्फोसीस फेज 2,,,,,
DOWN,Emcure,एमक्युअर,,,,,
DOWN,Wipro Company Circle,विप्रो कंपनी सर्कल,,,,,
DOWN,Tata Johnsan,टाटा जॉन्सन,,,,,
DOWN,Geometric Chowk,जिओमॅट्रीक चौक,,,,,
DOWN,Siemens,सिमेन्स,,,,,
DOWN,Infosys Phase 1,इन्फोसिसिफेज 1,,,,,
DOWN,Shivaji Chowk Hinjawadi,शिवाजी चौक हिंजवडी,,,,,
DOWN,Hinjawadi Jakat Naka,हिंजवडी जकात नाका,,,,,
DOWN,Sawtamali Mandir,सावतामाळी मंदिर,,,,,
DOWN,Wakad Bridge,वाकड ब्रीज,,,,,
DOWN,Digambar Marble,दिगंबर मार्बल,,,,,
DOWN,Balewadi Stadium,बालेवाडी स्टेडीयम,,,,,
DOWN,Yashoda Niwas,यशोदा निवास,,,,,
DOWN,Girme Park,गिरमे पार्क,,,,,
DOWN,West Wing Society,वेस्टविंग सोसायटी,,,,,
DOWN,Suskhind Phata,सुसखिंड फाटा,,,,,
DOWN,Abhinav College,अभिनव कॉलेज,,,,,
DOWN,Pandavnagar Pashan,पांडवनगर पाषाण,,,,,
DOWN,Sai Chowk Pashan Sus Road,साईचौक पाषाण सुस रोड ,,,,,
DOWN,Vishwakarma,विश्वकर्मा,,,,,
DOWN,Balaji Mandir,बालाजी मंदिर,,,,,
DOWN,Dattamandir Pashan Road,दत्तमंदिर पाषाण रोड,,,,,
DOWN,Kokate Aali,कोकाटे आळी,,,,,
DOWN,Pashan Naka,पाषाण नाका,,,,,
DOWN,MES Pumping Station,एम.ई.एस.पंपिंग स्टेशन,,,,,
DOWN,ARDE Colony,ए.आर.डी.इ.कॉलनी,,,,,
DOWN,Pashan Tank Rasta,पाषाण टँक रस्ता,,,,,
DOWN,Bharat Ele Company,भारत इले.कंपनी,,,,,
DOWN,Bavdhan Phata,बावधान फाटा,,,,,
DOWN,Bavdhangaon,बावधनगांव,,,,,
DOWN,Shindenagar Bawdhan,शिंदेनगर बावधन,,,,,
DOWN,Chandani Chowk,चांदणी चौक,,,,,
DOWN,Shinde Farm,शिंदे फार्म,,,,,
DOWN,Hirabaug,हिराबाग,,,,,
DOWN,Swargate Corner,स्वारगेट कॉर्नर,,,,,
DOWN,Swargate,स्वारगेट,,,,,
DOWN,Lakshminarayan,लक्ष्मीनारायण,,,,,
DOWN,ST Colony,एसटी कॉलनी,,,,,
DOWN,Bhapkar Petrol Pump,भापकर पेट्रोल पंप,,,,,
DOWN,Aranyeshwar Corner,अरण्येश्वर कॉर्नर,,,,,
DOWN,Natubaug,नातुबाग,,,,,
